infrastructure @ /home/caillot/Documents/Dataset/CARLA_Dataset_B/./I000/
         3123406 function calls (3085231 primitive calls) in 4.389 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      990    0.001    0.000    0.004    0.000 <__array_function__ internals>:2(nonzero)
     1433    0.001    0.000    0.001    0.000 typing.py:762(__setattr__)
     3407    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
     4109    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
        1    0.001    0.001    0.001    0.001 codata.py:1510(parse_constants_2018toXXXX)
       27    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
     1321    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:342(__init__)
      990    0.001    0.000    0.009    0.000 <__array_function__ internals>:2(diff)
     1048    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
  1738/12    0.001    0.000    1.258    0.105 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      991    0.001    0.000    0.005    0.000 <__array_function__ internals>:2(concatenate)
       13    0.001    0.000    0.001    0.000 enum.py:500(<listcomp>)
     1048    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
     8125    0.001    0.000    0.001    0.000 inspect.py:2539(name)
     3239    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       27    0.001    0.000    0.003    0.000 std.py:355(format_meter)
     1981    0.001    0.000    0.001    0.000 types.py:171(__get__)
      287    0.001    0.000    0.003    0.000 overrides.py:72(verify_matching_signatures)
     1614    0.001    0.000    0.016    0.000 artist.py:1319(is_alias)
   560/49    0.001    0.000    0.625    0.013 {built-in method builtins.__import__}
     9309    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
     1782    0.001    0.000    0.001    0.000 linalg.py:134(_realType)
       12    0.001    0.000    0.012    0.001 artist.py:1213(get_aliases)
      502    0.001    0.000    0.001    0.000 function_base.py:2031(__init__)
      230    0.001    0.000    0.028    0.000 sre_parse.py:937(parse)
      411    0.001    0.000    0.002    0.000 copy.py:66(copy)
      450    0.001    0.000    0.001    0.000 enum.py:75(__setitem__)
     2903    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    10708    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
     1313    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:151(__exit__)
     4722    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      124    0.001    0.000    0.011    0.000 _distn_infrastructure.py:631(__init__)
       99    0.001    0.000    0.040    0.000 projector.py:20(load_k)
       81    0.001    0.000    0.003    0.000 {built-in method builtins.sum}
     2101    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      105    0.001    0.000    0.011    0.000 _distn_infrastructure.py:1751(_attach_methods)
     1384    0.001    0.000    0.001    0.000 functools.py:64(wraps)
      231    0.001    0.000    0.009    0.000 _decorators.py:368(decorator)
     5678    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      379    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
     2634    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
        1    0.001    0.001    0.001    0.001 __init__.py:326(<listcomp>)
      191    0.001    0.000    0.003    0.000 typing.py:659(__init__)
      454    0.001    0.000    0.001    0.000 inspect.py:493(unwrap)
       46    0.001    0.000    0.001    0.000 six.py:105(__init__)
     2024    0.001    0.000    0.040    0.000 re.py:250(compile)
     1329    0.001    0.000    0.001    0.000 posixpath.py:60(isabs)
      618    0.001    0.000    0.002    0.000 _inspect.py:98(getargspec)
     1674    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
     4365    0.001    0.000    0.001    0.000 fromnumeric.py:2624(_amin_dispatcher)
      469    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
     1313    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
   260/11    0.001    0.000    0.002    0.000 pyparsing.py:1641(_parseNoCache)
      543    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
     1536    0.000    0.000    0.002    0.000 colors.py:115(_is_nth_color)
       72    0.000    0.000    0.006    0.000 __init__.py:1525(_preprocess_data)
      990    0.000    0.000    0.002    0.000 fromnumeric.py:1759(nonzero)
      379    0.000    0.000    0.001    0.000 _util.py:371(<listcomp>)
     2772    0.000    0.000    0.000    0.000 bbox.py:25(get_label)
       11    0.000    0.000    0.039    0.004 artist.py:1349(pprint_setters)
      559    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
      470    0.000    0.000    0.003    0.000 deprecation.py:9(wrap)
      233    0.000    0.000    0.000    0.000 pyparsing.py:1394(__init__)
     3813    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      297    0.000    0.000    0.001    0.000 format.py:874(_read_bytes)
      230    0.000    0.000    0.001    0.000 enum.py:938(__and__)
      417    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
     1267    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:800(find_spec)
       48    0.000    0.000    0.000    0.000 _deprecated_my_exceptions.py:66(_mk_exception)
      492    0.000    0.000    0.003    0.000 rcsetup.py:374(validate_color)
     3906    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       12    0.000    0.000    0.001    0.000 artist.py:1224(<listcomp>)
     2271    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
     3145    0.000    0.000    0.000    0.000 {built-in method from_bytes}
     2638    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      408    0.000    0.000    0.001    0.000 artist.py:1326(aliased_name)
     1373    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      124    0.000    0.000    0.000    0.000 deprecation.py:24(_generate_deprecation_warning)
     5289    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      184    0.000    0.000    0.496    0.003 <frozen importlib._bootstrap_external>:1164(create_module)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
       34    0.000    0.000    0.001    0.000 enum.py:200(<setcomp>)
        1    0.000    0.000    0.001    0.001 period.py:95(PeriodArray)
      109    0.000    0.000    0.002    0.000 deprecation.py:183(deprecate)
      141    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
      449    0.000    0.000    0.001    0.000 artist.py:1301(_replace_path)
      141    0.000    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
       60    0.000    0.000    0.000    0.000 cm.py:60(<listcomp>)
     2729    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
     1433    0.000    0.000    0.001    0.000 typing.py:646(_is_dunder)
  674/312    0.000    0.000    0.001    0.000 typing.py:720(__hash__)
     1267    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      426    0.000    0.000    0.002    0.000 inspect.py:2865(replace)
      693    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
     1260    0.000    0.000    0.000    0.000 colors.py:249(<genexpr>)
      990    0.000    0.000    0.001    0.000 arraysetops.py:138(_unpack_tuple)
      990    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.normalize_axis_index}
      918    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
     2079    0.000    0.000    0.000    0.000 bbox.py:16(get_pose)
       16    0.000    0.000    0.002    0.000 {built-in method builtins.eval}
      141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
       14    0.000    0.000    0.007    0.001 dataclasses.py:807(_process_class)
      407    0.000    0.000    0.000    0.000 _util.py:386(<genexpr>)
     1782    0.000    0.000    0.000    0.000 {method '__array_prepare__' of 'numpy.ndarray' objects}
  267/219    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
       99    0.000    0.000    0.004    0.000 ast.py:51(literal_eval)
        7    0.000    0.000    0.001    0.000 subprocess.py:1101(_close_pipe_fds)
     4450    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
   202/11    0.000    0.000    0.001    0.000 arrayprint.py:726(recurser)
     3843    0.000    0.000    0.000    0.000 inspect.py:2857(parameters)
